!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :         put/spec.dat                    !
!          t-matrix file    :    output/tmatrix.tl                    !
!          rad integral file:    utput/tmatrix.rad                    !
!          cluster file     :     tput/cluster.clu                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PHD        algorithm : SE          !
!               NO = 2  NDIF =  5  IFWD = 0  IPW = 0  ILENGTH = 0     !
!          inner potential  :      0.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: INITL =  2      !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:    55.15  PHI_LUM:   -44.70  E_LUM:  1486.60 eV !
!                                                                     !
!          outgoing beam    :                                         !
!          THETA_INI:   -80.00      THETA_FIN:    79.50               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :   379.10 eV   E_FIN    :   379.10 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PHD           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1   320     1    6  0
    1  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -80.00    0.00    379.10  0.721245E-05  0.189426E-04
    0  -80.00    0.00    379.10  0.721245E-05  0.189426E-04
   -1  -80.00    0.00    379.10  0.721245E-05  0.189426E-04
    1  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -79.50    0.00    379.10  0.113532E-04  0.122371E-04
    0  -79.50    0.00    379.10  0.113532E-04  0.122371E-04
   -1  -79.50    0.00    379.10  0.113532E-04  0.122371E-04
    1  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -79.00    0.00    379.10  0.171455E-04  0.337947E-04
    0  -79.00    0.00    379.10  0.171455E-04  0.337947E-04
   -1  -79.00    0.00    379.10  0.171455E-04  0.337947E-04
    1  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -78.50    0.00    379.10  0.249759E-04  0.505308E-04
    0  -78.50    0.00    379.10  0.249759E-04  0.505308E-04
   -1  -78.50    0.00    379.10  0.249759E-04  0.505308E-04
    1  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -78.00    0.00    379.10  0.352522E-04  0.394714E-04
    0  -78.00    0.00    379.10  0.352522E-04  0.394714E-04
   -1  -78.00    0.00    379.10  0.352522E-04  0.394714E-04
    1  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -77.50    0.00    379.10  0.483943E-04  0.507720E-04
    0  -77.50    0.00    379.10  0.483943E-04  0.507720E-04
   -1  -77.50    0.00    379.10  0.483943E-04  0.507720E-04
    1  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -77.00    0.00    379.10  0.648237E-04  0.118425E-03
    0  -77.00    0.00    379.10  0.648237E-04  0.118425E-03
   -1  -77.00    0.00    379.10  0.648237E-04  0.118425E-03
    1  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -76.50    0.00    379.10  0.849553E-04  0.169597E-03
    0  -76.50    0.00    379.10  0.849553E-04  0.169597E-03
   -1  -76.50    0.00    379.10  0.849553E-04  0.169597E-03
