!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :         put/spec.dat                    !
!          t-matrix file    :    output/tmatrix.tl                    !
!          rad integral file:    utput/tmatrix.rad                    !
!          cluster file     :     tput/cluster.clu                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PHD        algorithm : MI          !
!          inner potential  :      0.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: INITL =  2      !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:    55.15  PHI_LUM:   -44.70  E_LUM:  1486.60 eV !
!                                                                     !
!          outgoing beam    :                                         !
!          THETA_INI:   -80.00      THETA_FIN:    79.50               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :   379.10 eV   E_FIN    :   379.10 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PHD           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1   320     1    7  0
    1  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -80.00    0.00    379.10  0.105075E-05  0.240502E-05
    0  -80.00    0.00    379.10  0.105075E-05  0.240502E-05
   -1  -80.00    0.00    379.10  0.105075E-05  0.240502E-05
    1  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -79.50    0.00    379.10  0.181110E-05  0.211459E-05
    0  -79.50    0.00    379.10  0.181110E-05  0.211459E-05
   -1  -79.50    0.00    379.10  0.181110E-05  0.211459E-05
    1  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -79.00    0.00    379.10  0.297015E-05  0.364874E-05
    0  -79.00    0.00    379.10  0.297015E-05  0.364874E-05
   -1  -79.00    0.00    379.10  0.297015E-05  0.364874E-05
    1  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -78.50    0.00    379.10  0.466471E-05  0.655908E-05
    0  -78.50    0.00    379.10  0.466471E-05  0.655908E-05
   -1  -78.50    0.00    379.10  0.466471E-05  0.655908E-05
    1  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -78.00    0.00    379.10  0.705381E-05  0.769127E-05
    0  -78.00    0.00    379.10  0.705381E-05  0.769127E-05
   -1  -78.00    0.00    379.10  0.705381E-05  0.769127E-05
    1  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -77.50    0.00    379.10  0.103170E-04  0.103385E-04
    0  -77.50    0.00    379.10  0.103170E-04  0.103385E-04
   -1  -77.50    0.00    379.10  0.103170E-04  0.103385E-04
    1  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -77.00    0.00    379.10  0.146514E-04  0.173700E-04
    0  -77.00    0.00    379.10  0.146514E-04  0.173700E-04
   -1  -77.00    0.00    379.10  0.146514E-04  0.173700E-04
    1  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
